Recency,Frequency,MonetaryValue,Length
32,1,6120000,1887
79,1,15400000,1934
22,1,10560000,1877
23,1,11055000,1878
82,2,1072500,1937
54,1,1309000,1909
20,1,4355000,1875
64,1,935000,1919
2,4,4091600,1876
45,4,3704680,1929
23,1,4030000,1878
24,1,3920000,1879
20,1,4810000,1875
31,1,748000,1886
57,1,1428900,1913
59,1,748000,1915
84,1,715000,1940
45,1,6120000,1900
19,1,11660000,1874
5,1,1098900,1860
30,1,1210000,1885
38,1,11099000,1893
19,1,10120000,1874
46,1,1320000,1901
22,3,2143800,1921
24,1,6120000,1879
22,1,6120000,1877
89,1,1210000,1945
82,1,624000,1937
36,1,10835000,1891
19,1,6120000,1874
39,1,5520000,1894
24,1,3710000,1879
55,3,1848000,1910
59,1,6120000,1915
20,1,12540000,1875
35,3,1345000,1890
49,1,1034000,1905
25,1,3150000,1880
18,1,4030000,1873
22,1,6120000,1877
73,1,1595000,1928
80,1,973500,1935
37,1,4225000,1892
20,1,11110000,1875
19,1,11770000,1874
81,5,3100000,1936
84,1,1265000,1939
46,1,10010000,1901
20,1,11099000,1875
65,1,15589500,1920
80,1,11110000,1935
29,1,572000,1885
24,1,11220000,1879
12,1,1320000,1868
20,1,11033000,1875
19,1,10560000,1874
85,2,1237000,1940
18,1,6120000,1873
80,1,11935000,1935
23,1,3640000,1878
27,1,660000,1882
40,1,4030000,1895
18,1,11110000,1873
85,2,713000,1941
21,1,1215500,1877
43,1,596700,1898
45,1,10340000,1900
88,1,1237500,1943
20,1,6120000,1875
18,1,11660000,1873
38,1,6120000,1893
24,2,22990000,1900
75,1,973500,1930
54,1,516000,1910
29,1,2560000,1884
23,1,11055000,1878
18,1,11099000,1873
73,2,924000,1929
33,1,11440000,1888
30,1,10230000,1885
26,3,1398300,1908
65,1,564000,1921
22,1,6120000,1877
79,1,315000,1934
27,1,11110000,1882
62,1,422500,1917
27,1,11099000,1882
30,1,10560000,1885
62,1,935000,1917
18,1,1265000,1874
67,1,913000,1922
23,1,11033000,1878
24,1,4615000,1879
40,1,6360000,1895
26,1,4680000,1881
43,1,596700,1898
43,2,1465700,1911
31,1,5520000,1886
